user_id,attempts,is_correct,avg_score,total_study_time,total_forum_activity
U_1000129,0.0,0.0,0.0,0,0
U_1000342,17.0,7.0,0.4117647058823529,0,0
U_100066,4.0,2.0,0.0,0,0
U_100089,0.0,0.0,0.0,0,0
U_100090,1.0,1.0,20.0,0,0
U_1000902,0.0,0.0,0.0,0,0
U_100092,0.0,0.0,0.0,0,0
U_100096,0.0,0.0,0.0,0,0
U_100140,0.0,0.0,0.0,0,0
U_1001528,0.0,0.0,0.0,0,0
U_1001553,31.0,19.0,0.6451612903225806,0,0
U_100156,0.0,0.0,0.0,0,0
U_1001872,0.0,0.0,0.0,0,0
U_1001916,115.0,112.0,0.9739130434782609,0,0
U_100195,0.0,0.0,0.0,0,0
U_1001999,0.0,0.0,0.0,0,0
U_100203,3.0,2.0,1.0,0,0
U_1002253,0.0,0.0,0.0,0,0
U_1002389,0.0,0.0,0.0,0,1
U_100241,0.0,0.0,0.0,0,0
U_1002476,110.0,94.0,0.15454545454545454,0,0
U_1002736,20.0,15.0,0.0,0,0
U_100281,1.0,0.0,0.0,0,0
U_1002843,125.0,110.0,0.888,0,0
U_1002858,0.0,0.0,0.0,0,0
U_100294,264.0,207.0,0.0,0,264
U_100298,0.0,0.0,0.0,0,0
U_100306,0.0,0.0,0.0,8,8
U_10030854,1.0,1.0,0.0,0,0
U_10031670,485.0,475.0,1.0,0,475
U_10031735,0.0,0.0,0.0,0,0
U_10031887,0.0,0.0,0.0,0,0
U_10032036,0.0,0.0,0.0,0,0
U_10032068,0.0,0.0,0.0,0,0
U_10032265,0.0,0.0,0.0,0,0
U_10032601,0.0,0.0,0.0,0,0
U_10032849,0.0,0.0,0.0,0,0
U_10033070,1.0,0.0,0.0,0,0
U_10033495,0.0,0.0,0.0,0,0
U_10033817,15.0,9.0,0.6,0,0
U_10033829,10.0,7.0,0.7,0,0
U_10033948,310.0,229.0,0.875,0,0
U_10034055,0.0,0.0,0.0,0,0
U_100341,0.0,0.0,0.0,0,0
U_10034299,0.0,0.0,0.0,0,1
U_10035076,0.0,0.0,0.0,0,0
U_10035262,0.0,0.0,0.0,0,0
U_10035650,117.0,50.0,1.1470588235294117,0,0
U_10035815,0.0,0.0,0.0,0,0
U_10035817,0.0,0.0,0.0,0,0
U_10036035,0.0,0.0,0.0,0,0
U_1003625,118.0,70.0,3.23728813559322,0,0
U_10036250,0.0,0.0,0.0,0,0
U_10036332,36.0,33.0,1.1944444444444444,0,0
U_10036378,3.0,3.0,1.3333333333333333,0,0
U_10036488,0.0,0.0,0.0,0,0
U_10036806,58.0,52.0,0.15517241379310345,0,0
U_10036924,0.0,0.0,0.0,0,1
U_100378,72.0,60.0,0.7777777777777778,0,0
U_1003837,1.0,1.0,1.0,0,0
U_1004122,0.0,0.0,0.0,0,0
U_1004259,0.0,0.0,0.0,0,0
